2021-03-18 09:04:00,331 | train | INFO | Validation epoch 7 Mean loss: 0.10180663547508985 Accuracy: 0.9652173913043478
2021-03-18 09:04:00,331 | train | INFO | Early stopping counter 2/5
2021-03-18 09:04:57,799 | train | INFO | Train epoch 8 Mean loss: 0.06511527776308323 Accuracy: 0.9809798363718354
2021-03-18 09:05:02,259 | train | INFO | Validation epoch 8 Mean loss: 0.09167046430033118 Accuracy: 0.9701449275362319
2021-03-18 09:05:02,273 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210318_085551/model.pth
2021-03-18 09:05:02,274 | train | INFO | Validation loss decreased 0.1006597204990955 -> 0.09167046430033118
2021-03-18 09:06:01,239 | train | INFO | Train epoch 9 Mean loss: 0.057793574484259036 Accuracy: 0.9829607678928042
2021-03-18 09:06:05,591 | train | INFO | Validation epoch 9 Mean loss: 0.08751496943527076 Accuracy: 0.9710144927536232
2021-03-18 09:06:05,601 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210318_085551/model.pth
2021-03-18 09:06:05,601 | train | INFO | Validation loss decreased 0.09167046430033118 -> 0.08751496943527076
2021-03-18 09:17:21,521 | train | INFO | Train epoch 0 Mean loss: 0.5709364816581778 Accuracy: 0.8325066031050699
2021-03-18 09:17:26,944 | train | INFO | Validation epoch 0 Mean loss: 0.2515176116707532 Accuracy: 0.9255072463768116
2021-03-18 09:17:26,961 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210318_091614/model.pth
2021-03-18 09:18:25,329 | train | INFO | Train epoch 1 Mean loss: 0.22827381565359328 Accuracy: 0.9338884236294531
2021-03-18 09:18:29,973 | train | INFO | Validation epoch 1 Mean loss: 0.19556913264851639 Accuracy: 0.9356521739130435
2021-03-18 09:18:29,983 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210318_091614/model.pth
2021-03-18 09:18:29,983 | train | INFO | Validation loss decreased 0.2515176116707532 -> 0.19556913264851639
2021-03-18 09:19:27,773 | train | INFO | Train epoch 2 Mean loss: 0.17197414161601426 Accuracy: 0.9493493525736004
2021-03-18 09:19:32,881 | train | INFO | Validation epoch 2 Mean loss: 0.14660070561844368 Accuracy: 0.952463768115942
2021-03-18 09:19:32,896 | train | INFO | Weight saved: /workspace/template_project/image_classification/result/DNN_20210318_091614/model.pth
2021-03-18 09:19:32,896 | train | INFO | Validation loss decreased 0.19556913264851639 -> 0.14660070561844368
2021-03-18 09:20:29,861 | train | INFO | Train epoch 3 Mean loss: 0.13929570328966825 Accuracy: 0.9589641177607421
